experiment_id,phase,status,data_type,description,verified_result,limitations,artifact
phase0_remote_audit_20260712,0,completed,legacy_metadata,"Read-only path, data, generator and PDF traceability audit","Three distinct lineages resolved; PDF checkpoint metrics verified","No full waveform hashing; missing historical Git/seed metadata",docs/audits/PHASE0_REMOTE_AUDIT.md
phase1a_physics_schema_20260712,1A,completed,metadata_and_unit_tests,"Physics conventions; SIS/Fourier controls; solver and pair schema; input and split policies; provenance","65 pytest cases passed; Ruff passed; mypy passed for 12 source files; AutoDL SIS contract passed","No external non-SIS numerical solver available; no waveform or smoke data generated",docs/reports/PHASE1A_REPORT.md
phase1a1_schema_hardening_20260712,1A.1,completed,metadata_and_unit_tests,"Image-keyed EM astrometry; detector-specific noise provenance; typed timing; image/primary/manifest/array hardening; alpha.2","93 pytest cases; Ruff; mypy for 13 source files; package build; AutoDL alpha.2 contract passed","No external non-SIS solver; only in-memory strain validation; no smoke data generated",docs/reports/PHASE1A1_SCHEMA_HARDENING_REPORT.md
phase1b_engineering_smoke_20260712,1B,completed,synthetic_engineering_smoke,"48-pair SIS/SIE+shear/EPL+shear detector-time-aware waveform and EM schema validation","48 accepted; 24/12/12 families; 98 AutoDL tests; artifact checksums and resume passed; matched-response error <1.86e-16; Morse error <2.00e-16","Synthetic Bilby curve-conditioned Gaussian noise; frozen generic PSD label is imprecise; fixed engineering grid; forbidden from scientific use",docs/reports/PHASE1B_SMOKE_REPORT.md
phase1b1_solver_time_cleanup_20260712,1B.1,completed,solver_contract_and_fixture_evidence,"Separate dimensionless Fermat potential from physical arrival seconds and correct first-two diagnostics","96 local tests plus 101 AutoDL tests; fixture booleans true/true/false/true; frozen publication hashes unchanged","No data regeneration; frozen dataset remains tied to its original generator commit",docs/reports/PHASE1B1_SOLVER_TIME_CLEANUP_REPORT.md
phase2_preregistration_20260712,2,superseded_after_request_changes,documentation_and_statistical_design,"RC.1 literature and identifiability audit; model-conditional estimands; priors; selection; calibration; baselines; ablations; execution gate","99 local tests plus one optional skip; 104 AutoDL tests; Ruff, mypy, build; exact storage and binomial precision checks","Review found non-independent SBC and under-specified physical/diagnostic models; no execution authorized",docs/reports/PHASE2_ENTRY_REPORT.md
phase2a_preregistration_hardening_20260712,2.1,automatic_review_passed,documentation_schema_and_contract_tests,"RC.2 independent calibration/SBC; development/final gold; seed-aggregate selection; MST/environment alpha.3; Galkin kinematics; exact OOD/mismatch/tails; publication positioning","Local and AutoDL verification recorded in Phase 2.1 report; total remains 118784 and all execution flags false","No data generation, training, GWOSC/GWTC access, Phase 3A authorization or scientific performance claim",docs/reports/PHASE2A_PREREGISTRATION_HARDENING_REPORT.md
phase3a_generator_qualification_20260712,3A,blocked_before_generation,preflight_and_gap_audit,"Authorized 4096-pair production-generator qualification; implementation gap audit from clean checkpoint","Authorization/hash/resource/collision checks passed; zero pairs generated; source-plane normalized-density contract found incomplete","Bounding region and multiply-imaged cross-section measure are not frozen; requires reviewed preregistration amendment",docs/reports/PHASE3A_GENERATOR_QUALIFICATION_REPORT.md
phase2b_source_plane_contract_20260712,2.2,human_contract_approved,documentation_and_contract_tests,"RC.3 exact dimensionless source-plane preselection measure, normalized density and deterministic solver/support audit","Canonical hash 16a75327df5aacafa1fb4459e19429cc08d3350cd3056986356ef3c57864c1e8; execution flags remain false","Phase 3A must still pass the frozen support audit; no data generation or model training authorized",docs/reports/PHASE2B_SOURCE_PLANE_CONTRACT_REPORT.md
phase2c_finite_source_support_20260712,2.3,human_contract_approved,documentation_and_contract_tests,"RC.4 finite truncated source benchmark and primary/reference boundary agreement","Canonical hash 1403f1f8cf96fbc34c2cfd99928bd7c24b5fde5495e54689d2a5ee7ec250c418; execution flags remain false","No full-cross-section claim; Phase 3A boundary solver agreement remains a hard gate",docs/reports/PHASE2C_FINITE_SOURCE_SUPPORT_REPORT.md
phase3a_rc4_waveform_gate_20260712,3A,blocked_before_microbenchmark,physics_boundary_fixtures,"Four 8-second IMRPhenomXPHM cases compared with aligned 32-second references","4/4 failed; relative difference 0.0338-0.0609 and edge energy 6.19e-5-3.04e-4; zero shards generated","Frozen criteria cannot be relaxed post-result; reviewed waveform-window revision required",results/phase3a/waveform_boundary_validation.json
phase3a_rc4_waveform_diagnostic_20260712,3A,diagnostic_only_no_execution,waveform_numerics,"Read-only alignment, frequency-grid convergence, crop-energy and inverse-transform normalization audit","Zero-sample best lag; 64s-vs-128s difference 0.00231-0.00417; clean strain normalization defect factor 2048; zero dataset artifacts","Post-result diagnostics are not acceptance evidence; RC.5 proposal requires explicit human review",results/phase3a/waveform_boundary_diagnostic.json
phase2d_waveform_window_contract_20260712,2.4,human_contract_approved,documentation_and_contract_tests,"RC.5 fixed 64-second waveform construction, normalized inverse transform, conditioned 8-second publication and 128-second reference","Canonical hash 4dde279cf1bea78d1ddbd4fab99d88e88e334c80c180dc7850679736c5e53edb; execution flags remain false","Post-RC.4 thresholds are frozen before rerun; Phase 3A still needs separate authorization",docs/reports/PHASE2D_WAVEFORM_WINDOW_CONTRACT_REPORT.md
phase3a_generator_qualification_rc5_20260712,3A,completed_awaiting_human_review,generator_qualification,"Exact RC.5 generator; 32-pair microbenchmark; three-shard interruption; resume to 4096 engineering pairs","4096 accepted from 1455699 attempts; 32x128 shards; resume byte-identical; 4.45 GB published; 330.45 GB free; validation passed","Engineering-only synthetic Gaussian curve-conditioned data; no training/calibration/scientific testing/GWOSC/GWTC; full production closed",docs/reports/PHASE3A_GENERATOR_QUALIFICATION_REPORT.md
phase3b_adaptive_production_preregistration_20260712,3B,design_release_candidate,documentation_configuration_and_safety_tests,"Nested 16k/32k/65k training ladder; 12288 development; sealed 20480 final pool; development-only stopping; future proposal-v2 gate","Version 1.1.0-rc.1; canonical hash ba5dae2aa769331b917d3f622bfc967c607700f9908521576301841cb71d804b; no execution","All generation/training/calibration/SBC/IID/OOD/GWOSC/GWTC flags false; proposal-v2 and Phase 3C closed",docs/reports/PHASE3B_ADAPTIVE_PRODUCTION_PREREGISTRATION_REPORT.md
phase3b1_target_stopping_hardening_20260712,3B.1,awaiting_human_review,documentation_configuration_and_safety_tests,"16k probe-only semantics; 32k/65k locks; weighted target correction; deterministic evaluation commitment; throughput proposal gate; probe reuse","Version 1.1.0-rc.2; canonical hash b94e7733d7fbb6f4c9dc4d5842b6a87f29e0515b4047b7b1604bca1438d15805; commitment template SHA256 29a1b8487679e7f6a671395e47288c6bace45eb21b141f0ec94940391d14f272; no execution","All generation/training/proposal-v2/calibration/SBC/IID/OOD/GWOSC/GWTC/Phase3C flags false; template generator placeholder requires future review",docs/reports/PHASE3B1_TARGET_AND_STOPPING_HARDENING_REPORT.md
phase3b2_ab_count_consistency_20260712,3B.2,awaiting_human_review,documentation_configuration_and_safety_tests,"Proposal A/B count consistency; distinct arm identities; conservative double-RC.5 resource gate","Version 1.1.0-rc.3; 512 accepted per arm and 1024 total; canonical hash 6082475631539d3069edacc52f41b37fb8fe725ccd7c6bc9980cc3008795a927; commitment SHA256 015e4ee50b78f9bd80f17723ccf084fad22768b04c09ba9da9677b62808b6533; no execution","Both arms engineering-only; all generation/training/proposal-v2/GWOSC/GWTC/Phase3C flags false",docs/reports/PHASE3B2_AB_COUNT_CONSISTENCY_REPORT.md
phase3c0_proposal_v2_exact_mixture_20260712,3C-0,blocked_at_latent_ess_gate,latent_only_engineering_validation,"Exact 0.2/0.6/0.1/0.1 proposal mixture; full latent densities; deterministic replay; dry-run A/B skeleton","200000 draws; finite fractions 1; mean weight 1.01044; zero support holes; replay identical; overall ESS 0.09202 and SIE/EPL 0.11969/0.07433 failed frozen gates","Zero waveform pairs; no A/B/training/GWOSC/GWTC; frozen proposal may not be tuned in place",docs/reports/PHASE3C0_PROPOSAL_V2_IMPLEMENTATION_REPORT.md
phase3c02_target_anchored_proposal_20260712,3C-0.2,latent_preflight_passed_awaiting_review,latent_only_engineering_validation,"0.20 RC5 + 0.55 target + 0.25 central target proposal; theoretical ESS certificate; RC5 baseline","V3: mean 0.99836, ESS 0.78532, SIE/EPL 0.79184/0.77886, anchor failures 0, replay identical; RC5 diagnostic ESS 0.11776","Zero waveform pairs; no A/B/training/GWOSC/GWTC; passing does not authorize A/B",docs/reports/PHASE3C02_TARGET_ANCHORED_PROPOSAL_REPORT.md
phase3ca_proposal_v3_ab_20260712,3C-A,execution_failed_at_first_health_gate,engineering_ab_staging,"Frozen RC5/proposal-v3 matched A/B; first 32+32 blocks only","198 AutoDL tests and all physics preflights passed; one atomic block per arm retained; validator AttributeError stopped execution","No publication/throughput/ESS decision; retained blocks cannot enter science or a retry; Stage A/training/GWOSC/GWTC closed",docs/reports/PHASE3CA_PROPOSAL_V3_AB_REPORT.md
phase3ca1_proposal_v3_ab_retry_20260713,3C-A.1,execution_failed_at_active_time_cap,engineering_ab_staging,"Corrected typed alpha.3 health path; fresh RC5/proposal-v3 matched A/B retry","193 local and 202 AutoDL tests passed; first health gate passed; 12x32 pairs per arm completed; control block 12 exceeded six-hour cap","No publication/bootstrap/post-selection ESS; 768 complete pairs permanently engineering-only; proposal optimization closed; direct-target fallback requires new preregistration",docs/reports/PHASE3CA1_PROPOSAL_V3_AB_RETRY_REPORT.md
phase4_direct_target_preexecution_20260713,4,awaiting_human_review,scientific_contract_and_preexecution_implementation,"RC.4 direct target q=p; exact unit weights; 32768 train plus 6144 validation; release gate and 8+8 canary","No canary or scientific pairs generated; design-state release gate blocked with null official identities","All execution/training/calibration/evaluation/GWOSC/GWTC flags false; RC.4 and canary need separate review",docs/reports/PHASE4_DIRECT_TARGET_PREEXECUTION_REPORT.md
phase4_direct_target_canary_20260714,4,canary_passed_awaiting_stage_a_review,engineering_execution_canary,"Frozen direct-target generator and non-editable wheel; 8 train-namespace plus 8 validation-namespace pairs","16 exact engineering pairs; q=p/unit weights and health passed; byte-identical resume; grouped IDs disjoint; manifest c1984616...","No throughput/ESS inspection; no Stage A identities or outputs; scientific generation/training/GWOSC/GWTC remain closed",docs/reports/PHASE4_DIRECT_TARGET_CANARY_REPORT.md
phase4_stage_a_progress_20260714,4,in_progress,scientific_direct_target_staging,"Exact 32768 train plus 6144 validation direct-target Stage A materialization","Snapshot 2026-07-14T12:52:16Z: 80/304 complete shards; 10240 atomically complete train systems; first official shard passed read-only q=p/unit-weight validation; zero error artifacts","Staging only; validation not started; no final manifest, execution result or atomic publication; training/GWOSC/GWTC closed",docs/reports/PHASE4_STAGE_A_PROGRESS_20260714.md
phase4_probe_training_stack_20260714,4,implementation_complete_scientific_training_closed,software_and_engineering_smoke,"Lazy published-shard reader; Bilby-compatible whitening; mask-aware GW/EM conditional NSF; deterministic training/checkpoint/metrics","225 tests passed with 5 optional skips; Ruff/mypy/build passed; 7.80M-parameter full-length random-tensor smoke replay byte-identical","No Stage A read, scientific fit, checkpoint, calibration, final evaluation or AutoDL GPU result; later training gate required",docs/reports/PHASE4_PROBE_TRAINING_STACK_IMPLEMENTATION_REPORT.md
phase4_final_evaluation_generator_20260714,4,commitment_finalized_materialization_closed,sealed_evaluation_generator_implementation,"Exact 8192 IID, 4096 balanced-tail, 2048 cross-family, 2048 parameter-OOD, 2048 waveform-mismatch and 2048 PSD-mismatch contexts; sealed runner and validators","Frozen generator bc02054c1f95e7f6cd143fb9dc796ae48f0a15ac; commitment SHA c13412eced163bac26abc4b22d054f3a6fa967e7e5a4dd7849ebf54f42df6083; 241 tests/5 optional skips; zero pairs","Final materialization/unsealing/training/GWOSC/GWTC remain closed; Stage A publication and separate training gate still required",docs/reports/PHASE4_FINAL_EVALUATION_GENERATOR_IMPLEMENTATION_REPORT.md
phase4_probe_training_execution_runner_20260714,4,implementation_complete_scientific_training_closed,software_environment_and_engineering_smoke,"Atomic-parent reader; streaming rung preparation; shard-local deterministic loading; three-GPU launcher; 16k/32k development metrics and paired stopping decision","AutoDL Python 3.10.12/Torch 2.10.0+cu128 environment frozen; full-length forward/backward/sample/log-density smoke replay byte-identical; zero scientific reads","Stage A remains staging; no membership resolution, scientific optimizer, checkpoint, calibration, final evaluation or GWOSC/GWTC access",docs/reports/PHASE4_PROBE_TRAINING_EXECUTION_RUNNER_REPORT.md
phase4_stage_a_publication_20260715,4,completed_awaiting_probe_gate,scientific_direct_target_publication,"Exact RC.4 direct-target Stage A: 32768 train plus 6144 validation systems","38912 accepted from 14555037 attempts; 304x128 complete shards; q=p and unit weights; grouped splits disjoint; tree SHA 1c9d95d0...; 46.49 GB published; 264.87 GB free","No model fit or performance result; calibration/SBC/final evaluation/Stage B/GWOSC/GWTC remain closed",docs/reports/PHASE4_STAGE_A_COMPLETION_REPORT.md
phase4_probe_learning_curve_20260717,4,continue_to_train_65k,scientific_development_validation,"Frozen mask-aware conditional NSF at 16384 and 32768 training systems; seeds 0/1/2; identical 6144-case validation","Six fits completed; paired NLP improvement 0.236314 with 95% CI [0.223545,0.248638]; decision continue_to_train_65k","Uncalibrated development evidence only; final evaluation/calibration/SBC/Stage B/GWOSC/GWTC closed; 65k requires separate gate",docs/reports/PHASE4_PROBE_LEARNING_CURVE_REPORT.md
phase4_65k_training_stack_20260717,4,implementation_complete_scientific_65k_training_closed,software_and_synthetic_fixtures,"Atomic Stage A+Stage B combined resolver; independent post-publisher closeout; bounded-memory 65k reader; shared engine authorization envelope; three-seed launcher; exact-6144-case terminal decision","Two-parent hash/count binding, 256-shard closeout, common pre-optimizer authorization, truncated-table rejection and terminal lock/data-limited exits tested; unchanged model/optimizer/validation contract","Stage B staging was not read; no 65k membership, optimizer, architecture selection, calibration, final evaluation or GWOSC/GWTC access",docs/reports/PHASE4_65K_TRAINING_STACK_IMPLEMENTATION_REPORT.md
phase5_architecture_selection_stack_20260717,5,implementation_complete_architecture_execution_closed,software_and_synthetic_fixtures,"Exact 6/10-transform by 128/256-width grid; reuse three locked-rung probe fits; nine-new-fit launcher; three-seed mean-NLP selector; shared pre-optimizer authorization envelope","Grid construction, engine-level evidence validation and fail-closed selection semantics tested; lower-parameter exact-tie rule; no best-seed selection","No scientific data read, fit or architecture decision; calibration/SBC/final evaluation/GWOSC/GWTC remain closed",docs/reports/PHASE5_ARCHITECTURE_SELECTION_STACK_REPORT.md
phase6_calibration_sbc_stack_20260717,6,preregistered_implementation_complete_execution_closed,software_and_synthetic_fixtures,"RC.5 split-conformal credible-region maps; five-statistic independent SBC; exact discrete-rank expectation; Holm correction","Synthetic global/eight-cell maps, coverage application, deterministic SBC subset/ranks and identity-bound runner passed","No calibration/SBC data or model checkpoint accessed; no scientific map/test/final evaluation/GWOSC/GWTC",docs/reports/PHASE6_CALIBRATION_SBC_STACK_REPORT.md
phase6_materialization_score_stack_20260718,6,implementation_complete_execution_closed,software_and_synthetic_fixtures,"Fail-closed 4096 calibration plus 2048 SBC direct-target materialization and selected-checkpoint score extraction","286 tests passed with 6 optional skips; 24 focused tests; Ruff/mypy/build passed; dry plan 6144 systems and null identities","No pair/checkpoint/map/SBC/final evaluation/GWOSC/GWTC access; exact future gates still required",docs/reports/PHASE6_MATERIALIZATION_AND_SCORE_STACK_REPORT.md
phase7_final_evaluation_analysis_stack_20260718,7,preregistered_implementation_complete_execution_closed,software_and_synthetic_fixtures,"RC.6 final analysis; executable cross-family prior-marginalized and equal-family semantics; three-seed coverage/ablation contracts","Frozen 20480-system generator commitment unchanged; pure metric and dry-plan tests pass; no final case inspected","Materialization/unsealing/checkpoint/ablation/baseline/gold/GWOSC/GWTC execution all false; likelihood spec still required",docs/reports/PHASE7_FINAL_EVALUATION_ANALYSIS_STACK_REPORT.md
phase7_reference_baseline_stack_20260718,7,preregistered_implementation_complete_execution_closed,software_and_synthetic_fixtures,"RC.7 removes undefined full-latent IS claim; freezes 256-neighbor selected-prior EM/timing kNN/KDE reference","Pure normalized KDE, deterministic draws, exact family/cell filtering and truth/GW exclusion tested; no scientific bank/query opened","Reference is approximate not gold/exact; bank/final/checkpoint/GWOSC/GWTC access false",docs/reports/PHASE7_REFERENCE_BASELINE_STACK_REPORT.md
phase7_final_inference_stack_20260718,7,implementation_complete_execution_closed,software_and_synthetic_fixtures,"Sealed 15-namespace resolver; three-seed checkpoint/calibration binding; bounded 4096-draw inference; calibrated score artifacts; cross-family mixture","310 tests passed with 7 optional skips; Ruff/mypy/build passed; no scientific artifact opened","Final materialization/unsealing/checkpoint/calibration/reference/GWOSC/GWTC execution remains closed",docs/reports/PHASE7_FINAL_INFERENCE_STACK_REPORT.md
phase4_stage_b_progress_20260718,4,in_progress,scientific_direct_target_staging,"Exact 32768-system direct-target Stage B train extension","Snapshot 2026-07-18T09:32:29Z: 181/256 atomic shards and 23168 accepted systems complete; 16 active workers; zero error-like log lines; 234291400704 free bytes","Staging-only progress evidence; no execution result, atomic parent, combined 65k manifest or optimizer authorization",results/phase4/stage_b_progress_20260718T093229Z.json
phase4_stage_b_publication_20260718,4,completed_awaiting_65k_probe_gate,scientific_direct_target_publication,"Exact 32768-system Stage B train extension and atomic combined 65k reference","32768 systems in 256 shards; 39.44 GB; Stage B tree 373590aa...; combined manifest 753ace3d...; independent closeout passed; 223.77 GB free","No optimizer, architecture selection, calibration, SBC, final evaluation or GWOSC/GWTC access; separate 65k gate required",docs/reports/PHASE4_STAGE_B_COMPLETION_REPORT.md
phase4_waveform_numerical_incident_20260719,4,correction_preregistered_execution_closed,read_only_exhaustive_waveform_audit,"All 71680 Stage A/B source polarizations regenerated; versioned pre-selection numerical-validity correction frozen","Five train pathologies: two Stage A and three Stage B; largest valid ratio 1.704718 versus smallest invalid 12983; zero 65k optimizer steps","Original publications immutable; prior 16k/32k evidence superseded; replacement publication and all training remain closed",docs/reports/PHASE4_WAVEFORM_NUMERICAL_INCIDENT_REPORT.md
phase4_waveform_numerical_correction_20260719,4,completed_awaiting_corrected_probe_gate,scientific_direct_target_correction_overlay,"Immutable overlay excluding 2 Stage A and 3 Stage B pathologies with 2+3 fresh direct-target replacements","Corrected 32768+32768 train and 6144 validation; manifest 0fcfb117...; tree a57aa269...; independent array/spectrum/hash/group closeout passed","Original publications unchanged; earlier learning curve superseded; optimizer/calibration/SBC/final/GWOSC/GWTC remain closed",docs/reports/PHASE4_WAVEFORM_NUMERICAL_INCIDENT_REPORT.md
phase4_corrected_probe_stack_20260719,4,implementation_complete_training_closed,software_and_synthetic_fixtures,"Typed immutable correction overlay resolver; lazy corrected 32k/65k readers; fresh SHA-ranked 16k membership; fail-closed rerun interfaces","324 tests passed with 7 optional skips; exact exclusion/replacement, uniqueness and drift fixtures; Ruff/mypy/build passed","No scientific Parquet/Zarr, membership, optimizer, checkpoint or metric accessed; exact training release still required",docs/reports/PHASE4_CORRECTED_PROBE_RERUN_IMPLEMENTATION_REPORT.md
phase4_corrected_probe_authorization_20260719,4,authorized_execution_pending,corrected_scientific_probe_training,"Fresh 16k/32k three-seed probe over immutable correction overlay","Real metadata resolution passed; 32k view b9390a7f...; code adcb1a7...; wheel 44208c61...; 223.75 GB free","No checkpoint reuse; architecture/calibration/SBC/final/65k/GWOSC remain closed",docs/reports/PHASE4_CORRECTED_PROBE_RERUN_AUTHORIZATION_REPORT.md
phase4_corrected_probe_learning_curve_20260719,4,continue_to_train_65k,corrected_scientific_development_validation,"Fresh corrected 16384/32768 probe fits for seeds 0/1/2 on identical 6144-case validation","Six fits passed; paired NLP improvement 0.211849 with 95% CI [0.200116,0.223464]; decision replay byte-identical; SHA fe2890e0...","Uncalibrated development only; corrected 65k optimizer, architecture, calibration, SBC, final evaluation and GWOSC/GWTC remain closed",docs/reports/PHASE4_CORRECTED_PROBE_LEARNING_CURVE_REPORT.md
phase4_corrected_probe_65k_authorization_20260719,4,authorized_execution_pending,corrected_terminal_probe_training,"Fresh corrected 65536-system probe for seeds 0/1/2 and terminal development comparison","Decision fe2890e0... and corrected view da8aaa8d... bound to code adcb1a7..., wheel 44208c61... and CUDA lock; 222.27 GB free","No checkpoint reuse; architecture/calibration/SBC/final/extension/GWOSC remain closed",docs/reports/PHASE4_CORRECTED_65K_PROBE_AUTHORIZATION_REPORT.md
phase5_corrected_architecture_stack_20260719,5,implementation_complete_execution_closed,corrected_architecture_selection_software,"Correction-aware 2x2 architecture grid runner with 3 corrected probe reuses and at most 9 new fits","Code d7e87a8...; wheel fcc766a4...; 326 tests passed with 7 optional skips; Ruff/mypy/build passed","No scientific array, architecture fit, selection, calibration, SBC or final evaluation accessed",docs/reports/PHASE5_CORRECTED_ARCHITECTURE_STACK_REPORT.md
phase6_downstream_waveform_validity_20260719,6,implementation_complete_execution_closed,prospective_generator_safety_overlay,"Frozen 1.1.1-rc.1 source-waveform numerical rejection propagated to future Phase 6 and baseline final-evaluation namespaces","Original configs and c13412ec final commitment unchanged; supplemental hashes af87affb... and 431c09f2...; typed IMR/alternate-waveform handling tested","Zero pairs/checkpoints/statistics opened; calibration/SBC/final/GWOSC/GWTC execution remains closed",docs/reports/PHASE6_DOWNSTREAM_WAVEFORM_VALIDITY_HARDENING_REPORT.md
phase7_final_generator_revision_gate_20260719,7,implementation_complete_execution_closed,sealed_final_release_software,"Narrow revised-generator gate preserving original c13412ec commitment and binding numerical-validity addendum plus corrected 65k logical reference","20 focused tests; typed authorization; fail-closed release certificate; 15 deterministic identities; five exclusions/five replacements handled","No final pair/identity/certificate created; materialization/unsealing/analysis/GWOSC/GWTC remain closed",docs/reports/PHASE7_FINAL_GENERATOR_REVISION_GATE_REPORT.md
phase6_corrected_reference_gate_20260719,6,implementation_complete_execution_closed,calibration_sbc_release_software,"Correction-aware future calibration/SBC reference and leakage gate","Four immutable parents; five exclusions/five replacements; exact 65536 train plus 6144 validation reference; typed future authorization","No identity/pair/checkpoint/statistic opened; materialization/calibration/SBC/final/GWOSC/GWTC remain closed",docs/reports/PHASE6_CORRECTED_REFERENCE_GATE_REPORT.md
phase7_reference_execution_hardening_20260719,7,implementation_complete_execution_closed,reference_baseline_software,"Metadata-only exact-cell reader and deterministic grouped kNN/KDE execution core","335 tests passed with 7 optional skips; order-invariant index; per-case CRPS/NLP/coverage/width scores; no posterior-draw persistence","No scientific bank/query/checkpoint opened; validation/final/reference/GWOSC/GWTC execution remains closed",docs/reports/PHASE7_REFERENCE_EXECUTION_STACK_HARDENING_REPORT.md
phase7_ablation_training_stack_20260719,7,implementation_complete_execution_closed,ablation_training_software,"GW-only and EM-only selected-architecture training views; exact six-fit launcher and fail-closed result summary","343 tests passed with 7 optional skips; 8 focused; Ruff/mypy/build passed; runner defaults to optimizer-blocked","No scientific array/checkpoint/optimizer/calibration/SBC/final/GWOSC/GWTC access; terminal size and architecture locks plus exact execution gate required",docs/reports/PHASE7_ABLATION_TRAINING_STACK_REPORT.md
phase7_reference_query_runner_20260719,7,implementation_complete_execution_closed,reference_query_software,"Fail-closed corrected-bank resolver and bounded validation/IID/tail reference query score writer","348 tests passed with 7 optional skips; 17 focused; raw counts and Wilson intervals; no posterior draws persisted; Ruff/mypy/build passed","No scientific bank/query/checkpoint/final/GWOSC/GWTC access; terminal size, architecture, exact query and final-unsealing gates remain required",docs/reports/PHASE7_REFERENCE_QUERY_RUNNER_REPORT.md
phase7_legacy_sis_stress_stack_20260719,7,implementation_complete_execution_closed,legacy_baseline_software,"Read-only PDF-era SIS point-regression metric and identity verifier","353 tests passed with 7 optional skips; 5 focused; opaque checkpoint hash plus 500-row saved prediction contract; no checkpoint deserialization; Ruff/mypy/build passed","Out-of-domain descriptive control only; no legacy write, v2/final access, posterior/calibration/matched-competitor or GWOSC/GWTC claim",docs/reports/PHASE7_LEGACY_SIS_STRESS_CONTROL_STACK_REPORT.md
phase4_corrected_probe_65k_terminal_20260720,4,stop_data_limited_and_new_preregistration,corrected_scientific_development_validation,"Fresh corrected 65536-system probe fits for seeds 0/1/2 and terminal 32k-to-65k comparison","All three fits passed; paired NLP improvement 0.201437 with 95% CI [0.191498,0.211788]; decision replay byte-identical; SHA 90c238a0...","Major scientific stop: no automatic extension above 65536 and no architecture lock; calibration/SBC/final/GWOSC/GWTC remain closed",docs/reports/PHASE4_CORRECTED_65K_PROBE_CLOSEOUT_REPORT.md
